delta=0, theta=2.0
valley1
k_idx: 0, Bands: [-103.52644721   50.           56.77232483  176.66455618]
k_idx: 1, Bands: [-103.3398762    49.9876959    56.77869753  176.54270182]
k_idx: 2, Bands: [-102.82463964   49.95049691   56.79764129  176.20223475]
k_idx: 3, Bands: [-102.06925815   49.88787471   56.82898907  175.69105958]
k_idx: 4, Bands: [-101.15416054   49.79919461   56.87267406  175.05722001]
k_idx: 5, Bands: [-100.13544824   49.68375492   56.9286893   174.33980898]
k_idx: 6, Bands: [-99.04871025  49.54083215  56.9970416  173.56758417]
k_idx: 7, Bands: [-97.91616402  49.36972622  57.07770573 172.76086031]
k_idx: 8, Bands: [-96.7519291   49.16980068  57.17058396 171.93388811]
k_idx: 9, Bands: [-95.56525832  48.94051438  57.27547446 171.0967757 ]
k_idx: 10, Bands: [-94.36242758  48.68144263  57.39205069 170.25684119]
k_idx: 11, Bands: [-93.14784316  48.39228793  57.51985181 169.41951741]
k_idx: 12, Bands: [-91.92470387  48.07288134  57.65828283 168.5889477 ]
k_idx: 13, Bands: [-90.69540786  47.72317677  57.80662264 167.76837828]
k_idx: 14, Bands: [-89.46180994  47.34324051  57.96403739 166.96041846]
k_idx: 15, Bands: [-88.22538913  46.93323807  58.12959733 166.1672145 ]
k_idx: 16, Bands: [-86.98736103  46.49342026  58.30229507 165.39056666]
k_idx: 17, Bands: [-85.74875508  46.02410971  58.48106438 164.63200798]
k_idx: 18, Bands: [-84.51046936  45.52568861  58.66479845 163.89285707]
k_idx: 19, Bands: [-83.2733103   44.99858796  58.85236746 163.17425263]
k_idx: 20, Bands: [-82.03802228  44.4432787   59.04263529 162.47717514]
k_idx: 21, Bands: [-80.80531024  43.86026428  59.23447534 161.80245915]
k_idx: 22, Bands: [-79.57585727  43.2500748   59.42678568 161.15079871]
k_idx: 23, Bands: [-78.35033872  42.61326233  59.6185038  160.52274773]
k_idx: 24, Bands: [-77.12943359  41.9503972   59.80862073 159.91871654]
k_idx: 25, Bands: [-75.91383399  41.26206519  59.99619512 159.33896569]
k_idx: 26, Bands: [-74.70425306  40.54886519  60.18036689 158.78359789]
k_idx: 27, Bands: [-73.50143166  39.81140741  60.36037069 158.25254878]
k_idx: 28, Bands: [-72.30614401  39.05031193  60.535549   157.7455772 ]
k_idx: 29, Bands: [-71.11920256  38.26620747  60.70536485 157.26225571]
k_idx: 30, Bands: [-69.941462    37.4597303   60.86941387 156.801962  ]
k_idx: 31, Bands: [-68.77382267  36.63152333  61.02743562 156.3638718 ]
k_idx: 32, Bands: [-67.61723326  35.78223522  61.17932396 155.9469541 ]
k_idx: 33, Bands: [-66.47269286  34.91251958  61.32513623 155.54996929]
k_idx: 34, Bands: [-65.34125239  34.02303411  61.46510105 155.17147094]
k_idx: 35, Bands: [-64.22401536  33.1144398   61.59962449 154.80981184]
k_idx: 36, Bands: [-63.12213786  32.18740017  61.72929457 154.46315486]
k_idx: 37, Bands: [-62.03682793  31.24258037  61.85488367 154.12948913]
k_idx: 38, Bands: [-60.96934401  30.2806464   61.97734897 153.80665171]
k_idx: 39, Bands: [-59.92099258  29.30226421  62.09783066 153.4923548 ]
k_idx: 40, Bands: [-58.89312491  28.30809891  62.21764794 153.18421831]
k_idx: 41, Bands: [-57.88713281  27.2988138   62.33829267 152.87980717]
k_idx: 42, Bands: [-56.90444328  26.27506959  62.46142076 152.57667244]
k_idx: 43, Bands: [-55.94651213  25.23752346  62.58884139 152.2723951 ]
k_idx: 44, Bands: [-55.0148164   24.18682824  62.722504   151.96463084]
k_idx: 45, Bands: [-54.11084565  23.12363154  62.86448322 151.65115431]
k_idx: 46, Bands: [-53.23609193  22.0485749   63.01696193 151.32990083]
k_idx: 47, Bands: [-52.39203874  20.96229307  63.18221258 150.99900406]
k_idx: 48, Bands: [-51.58014867  19.86541319  63.36257691 150.65682776]
k_idx: 49, Bands: [-50.80185009  18.75855408  63.56044441 150.30199072]
k_idx: 50, Bands: [-50.05852287  17.64232566  63.7782297  149.93338388]
k_idx: 51, Bands: [-49.35148327  16.5173283   64.01834917 149.55017939]
k_idx: 52, Bands: [-48.68196831  15.38415234  64.28319707 149.15183187]
k_idx: 53, Bands: [-48.05111983  14.24337766  64.57512162 148.73807239]
k_idx: 54, Bands: [-47.45996845  13.09557333  64.8964012  148.30889621]
k_idx: 55, Bands: [-46.90941794  11.9412974   65.24922127 147.86454556]
k_idx: 56, Bands: [-46.40023012  10.78109671  65.63565219 147.40548865]
k_idx: 57, Bands: [-45.93301088   9.61550687  66.05762845 146.93239633]
k_idx: 58, Bands: [-45.50819748   8.44505237  66.51692953 146.44611764]
k_idx: 59, Bands: [-45.12604762   7.27024669  67.01516289 145.94765526]
k_idx: 60, Bands: [-44.78663053   6.09159266  67.55374913 145.4381418 ]
k_idx: 61, Bands: [-44.48982027   4.90958287  68.13390976 144.91881747]
k_idx: 62, Bands: [-44.23529155   3.72470019  68.75665753 144.39100982]
k_idx: 63, Bands: [-44.02251812   2.53741852  69.42278946 143.85611551]
k_idx: 64, Bands: [-43.85077379   1.34820357  70.13288257 143.31558457]
k_idx: 65, Bands: [-43.71913602   0.1575139   70.88729203 142.77090695]
k_idx: 66, Bands: [-43.62649202  -1.03419792  71.68615164 142.22360135]
k_idx: 67, Bands: [-43.57154714  -2.22648385  72.52937632 141.67520632]
k_idx: 68, Bands: [-43.55283531  -3.41889874  73.41666609 141.12727338]
k_idx: 69, Bands: [-43.56873137  -4.61099831  74.34751128 140.58136206]
k_idx: 70, Bands: [-43.61746483  -5.80233672  75.32119831 140.0390368 ]
k_idx: 71, Bands: [-43.69713494  -6.9924637   76.33681553 139.50186548]
k_idx: 72, Bands: [-43.80572668  -8.18092098  77.39325853 138.97141978]
k_idx: 73, Bands: [-43.94112748  -9.36723799  78.48923425 138.44927707]
k_idx: 74, Bands: [-44.10114448 -10.55092653  79.62326326 137.93702417]
k_idx: 75, Bands: [-44.28352219 -11.73147423  80.79367938 137.43626294]
k_idx: 76, Bands: [-44.48596048 -12.90833641  81.99862591 136.94861812]
k_idx: 77, Bands: [-44.70613291 -14.08092597  83.23604758 136.47574759]
k_idx: 78, Bands: [-44.94170555 -15.24860073  84.50367706 136.01935569]
